id,value
id_0,5.174960398984736
id_1,18.306214253527905
id_2,20.491218094180542
id_3,11.523942869805357
id_4,26.61605675230614
id_5,20.531348081761216
id_6,21.906551018797387
id_7,31.736468747068837
id_8,13.391674055111729
id_9,64.45646650291954
id_10,20.26456883615944
id_11,15.358576077361231
id_12,68.58947276926726
id_13,48.42811374745719
id_14,18.702333824193214
id_15,10.188595737466702
id_16,30.74036285982045
id_17,71.13221776355105
id_18,-4.130517391262438
id_19,18.23569401642869
id_20,38.578922275007756
id_21,71.31151972531332
id_22,7.410348162634086
id_23,18.717955330321395
id_24,14.937250260084578
id_25,36.719736694705304
id_26,17.961697005662725
id_27,75.78946287210537
id_28,12.30931024861448
id_29,56.29535173964959
id_30,25.113160865661477
id_31,4.610248674094039
id_32,2.4837705545150315
id_33,24.75942226132128
id_34,30.48028046559117
id_35,38.46393074642665
id_36,44.20231060933004
id_37,30.086836019866002
id_38,40.47367501574007
id_39,29.226479902317358
id_40,5.60645605434392
id_41,38.666016078789596
id_42,34.61021343187719
id_43,48.389697507384824
id_44,14.757247666944176
id_45,34.466820110872085
id_46,27.483106874184358
id_47,12.000879378154046
id_48,21.37803615160377
id_49,28.544403091663288
id_50,20.165513818411583
id_51,10.796678149746493
id_52,22.171035755750125
id_53,53.446263109352266
id_54,12.219581121610016
id_55,43.300968455171535
id_56,32.18233510328541
id_57,22.56721751457079
id_58,56.73951416554704
id_59,20.745052945295473
id_60,15.028854557473279
id_61,39.85530159038512
id_62,12.97534068072828
id_63,51.74165959283005
id_64,18.783369632539863
id_65,12.348752842777719
id_66,15.633623653541935
id_67,-0.0588714706849891
id_68,41.508011073075956
id_69,31.548747530656026
id_70,18.604251157547083
id_71,37.476819724880684
id_72,56.52039065762304
id_73,6.587877193521949
id_74,12.229339737435016
id_75,5.203696404134638
id_76,47.92737510380061
id_77,13.02070568559467
id_78,17.110301693903622
id_79,20.603234531002034
id_80,21.28448156078461
id_81,38.692935290511805
id_82,30.020716675725843
id_83,88.76740666723546
id_84,35.984700239668264
id_85,26.756913553477187
id_86,23.96351684356439
id_87,32.74724282808308
id_88,22.189043755319933
id_89,20.99215885362656
id_90,29.55599431664545
id_91,40.992168866517794
id_92,8.625117809911565
id_93,32.32147180887792
id_94,46.59804436536756
id_95,22.884070826723526
id_96,31.51812972825165
id_97,11.198233479766103
id_98,28.527436642529608
id_99,0.2911506800896479
id_100,17.966961079539697
id_101,27.124163929470143
id_102,11.398232780652847
id_103,16.426426865673527
id_104,23.42526104692217
id_105,40.6160826705684
id_106,25.86412502656041
id_107,5.42273695167238
id_108,10.794921122256103
id_109,72.86213692992125
id_110,48.02283705948137
id_111,15.746808276903014
id_112,24.67041061417796
id_113,12.827793326536707
id_114,10.158057570240526
id_115,27.269223342020997
id_116,29.20873857793244
id_117,8.835339619930757
id_118,20.051088137129774
id_119,20.21233374376426
id_120,79.90600929870557
id_121,18.061614288263605
id_122,30.542809341304334
id_123,25.980792377728033
id_124,5.212577268164774
id_125,30.355697305856214
id_126,7.768322888914648
id_127,15.328268255393299
id_128,22.666365717697964
id_129,62.74205421109007
id_130,18.95078036798799
id_131,19.07635563083854
id_132,61.37157409163711
id_133,15.884562052629718
id_134,13.409418077705553
